# Mwm name	Generation time
Vietnam	123307.315404
Mexico_South	93805.610223
Mexico_Mexico	83321.91355500002
WorldCoasts	79831.582698
India_Uttar Pradesh	55133.309783000004
Kenya	43805.530814000005
World	34952.904734
Tanzania	32522.052781000002
Thailand_Central	31166.052592999997
Malawi	30017.971461
Nigeria_South	29171.532697000002
Germany_Baden-Wurttemberg_Regierungsbezirk Karlsruhe	27790.529661999997
Germany_Hesse_Regierungsbezirk Darmstadt	27261.644898000002
Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Stuttgart	26986.074544999996
Mozambique	26199.967705
Germany_Rhineland-Palatinate_Koblenz	25071.631177999996
Germany_Free State of Bavaria_Swabia	24459.245807000003
Germany_Free State of Bavaria_Lower Franconia	22928.533824
Poland_Masovian Voivodeship	22295.285198
Germany_Baden-Wurttemberg_Regierungsbezirk Tubingen	21612.87347
Austria_Lower Austria_Wien	20873.791506
Thailand_South	20742.218753
Brazil_Northeast Region_West	20727.200506999998
Germany_Baden-Wurttemberg_Regierungsbezirk Freiburg	20690.936549
Nigeria_North	20530.228369999997
Brazil_Bahia	20360.685295
Poland_Lesser Poland Voivodeship	20181.615206
Germany_Thuringia	19722.523059000003
Pakistan	19591.429366999997
Austria_Lower Austria_West	19419.184847000004
India_Bihar	18697.800029
Spain_Castile-La Mancha	18587.741992000003
Hungary_Northern Great Plain	18578.039663999996
Indonesia_Jawa Tengah	18493.896641
Egypt	17825.40037
Germany_Saxony_Leipzig	17753.618765
Brazil_Southeast Region_Minas Gerais_Contagem	17713.420887999997
India_Madhya Pradesh	17218.979578
France_Champagne-Ardenne	16639.52786
Poland_Silesian Voivodeship	16618.073315
India_Maharashtra	16443.592688
Japan_Kanto_Tokyo	16260.520945999999
Germany_Hesse_Regierungsbezirk Kassel	16072.270596
Netherlands_North Holland_Amsterdam	15821.535557999996
Mexico_Central_West	15606.180128
India_Rajasthan	15248.652269999999
Germany_Free State of Bavaria_Middle Franconia	14609.869043
Uganda	14407.32265
US_New York_West	14148.521727
Portugal_Viseu	14127.164753
Germany_Free State of Bavaria_Upper Palatinate	13983.38837
Slovenia_East	13796.977495000001
Hungary_Transdanubia	13456.379069999999
Zambia	13382.776591
Poland_Lower Silesian Voivodeship	13131.442239
Taiwan_North	12772.788796
Poland_Greater Poland Voivodeship	12596.233281
Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Koln	12168.736774
UK_England_West Midlands	12111.038400000001
US_Indiana_North	11987.474710999999
Germany_Free State of Bavaria_Upper Franconia	11646.920297
Mexico_Central_East	11334.251455
Germany_North Rhine-Westphalia_Regierungsbezirk Detmold	11332.789363
India_Tamil Nadu	11284.599837000002
Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Heilbronn	11148.466742000002
US_Maryland_Baltimore	11132.185624
Netherlands_South Holland_Den Haag	11080.275295000001
UK_England_South West England_Bristol	11053.816687999999
India_Andhra Pradesh	11042.600704999999
UK_England_South East_Oxford	10973.475534
Germany_Free State of Bavaria_Lower Bavaria	10859.376391
US_Tennessee_West	10649.146529
Mali	10534.194417
Netherlands_South Holland_Rotterdam	10467.487299000002
Indonesia_Jawa Barat	10444.691732000001
Indonesia_Jawa Timur	10433.296747
Morocco_Southern	10378.799671
Myanmar	10249.857213000001
Germany_Hesse_Regierungsbezirk Giessen	10157.94906
UK_England_East Midlands	10091.833497999998
Spain_Castile and Leon_West	10075.733369000001
Iran_North	10072.079235999998
Japan_Kanto_Kanagawa	10010.39495
Japan_Kanto_Saitama	9992.744128999997
Brazil_Southeast Region_Minas Gerais_North	9954.413960000002
US_California_Santa_Clara_Palo Alto	9795.163137
US_Texas_Dallas	9760.559136
Austria_Styria_Graz	9693.315898
Brazil_Southeast Region_Sao Paulo_Campinas	9377.234815
US_Ohio_Cincinnati	9353.256490000002
France_Limousin	9234.648252999998
US_Alabama_Montgomery	9231.277417000001
Poland_Subcarpathian Voivodeship	9194.313638999998
Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Aachen	9134.597095000001
Poland_Lublin Voivodeship	9057.498808
US_Tennessee_East	8977.509293
Germany_North Rhine-Westphalia_Regierungsbezirk Arnsberg_Arnsberg	8870.120636
Spain_Castile and Leon_East	8867.088984000002
Germany_Rhineland-Palatinate_South	8808.309529
US_Ohio_Cleveland	8802.020140999999
Spain_Catalonia_Provincia de Barcelona	8734.421296999999
US_New York_New York	8591.425184999998
Serbia	8460.526587999999
Netherlands_Limburg	8388.843616
US_Michigan_Lansing	8366.686235000001
Portugal_Porto	8299.797234000001
Brazil_Northeast Region_East	8270.267154000001
France_Burgundy_Saone-et-Loire	8247.093961999999
US_Connecticut	7986.463135
Spain_Valencian Community	7977.0867610000005
Germany_Lower Saxony_Oldenburg	7927.370553
Switzerland_Espace Mittelland_Bern	7807.634443
Brazil_Santa Catarina	7681.568364
US_Florida_Jacksonville	7612.169329
US_New York_North	7591.222631
US_Colorado_Denver	7444.252234
Poland_Lodz Voivodeship	7429.927594999999
US_Kansas_East	7424.112563
US_Illinois_Chickago	7382.869543999998
UK_England_Greater London	7302.4793660000005
Italy_Tuscany_Massa e Carrara	7272.331993000001
US_North Carolina_Charlotte	7214.727452000001
US_California_LA	7145.1023430000005
Germany_North Rhine-Westphalia_Regierungsbezirk Arnsberg_Dortmund	7135.971238999999
Congo-Kinshasa_West	7132.155889000001
US_Indiana_Indianapolis	7113.172386
Iran_South	7058.617136
China_Hebei	7035.691212999999
US_Georgia_Atlanta	7014.759384
France_Poitou-Charentes_Charente-Maritime	6996.938965
Brazil_Paraiba	6959.310358
Belgium_Flemish Brabant	6957.573296999999
Spain_Aragon	6862.933722000002
Russia_Moscow Oblast_East	6774.032956999999
US_Michigan_Grand Rapids	6634.372979
Bangladesh	6587.0100649999995
US_North Carolina_Greensboro	6582.849833
US_New York_East	6550.313087000001
Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Dusseldorf	6549.088352
Spain_Catalonia_Provincia de Lleida	6510.938941
